title,uuid,tags,links,last_mod_dt,word_count
Paragraphs are under-appreciated,['202204121427'],"['#JAMM328', '#literary-device', '#counter-argument']","['[[202204121427]]', '[[202107111234]]', '[[202302040606]]', '[[202303131644]]']",Tue Mar 14 08:48:03 2023,137
B-How To Live?,['202106131829'],"['#book', '#stoicism', '#history', '#beautiful-language', '#beautiful-language']","['[[202106131829]]', '[[202105102006]]', '[[202005240910]]', '[[202107130847]]', '[[202009220727]]', '[[202111290921]]', '[[202106281802]]']",Sat Feb 11 06:04:05 2023,424
A-Cognitive Load Theory and its Applications for Learning,['202201061456'],"['#attention', '#cognition', '#pedagogy', '#article', '#easy-footnote-bottom-8-13804)']","['[[202201061456]]', '[[202202121652]]', '[[202204272037]]', '[[202202012056]]', '[[202302221525]]', '[[202202121706]]', '[[202202121717]]', '[[202202122039]]', '[[202202122121]]', '[[202206231638]]']",Wed Feb 22 16:15:58 2023,488
Prose morphs back a forth toward poetry,['202105201745'],"['#writing', '#reading-strategies', '#Comment_11834}']","['[[202105201745]]', '[[202006230814]]', '[[201912171125]]', '[[202002211200]]', '[[202105122032]]']",Tue Dec 27 17:29:17 2022,212
Two Column List To Compare Ideas,['202012281423'],"['#writing', '#flash', '#list']","['[[202012281423]]', '[[202012301703]]', '[[201911220836]]', '[[202006191522]]', '[[202008312042]]', '[[202011220805]]', '[[202002132037]]', '[[202003032045]]', '[[201911220836]]', '[[202204121204]]', '[[202204121200]]']",Wed Apr 13 08:08:01 2022,430
Hells Canyon Wilderness,['202002162044'],"['#wild-at-heart', '#writing', '#ENGL393']","['[[202003232030]]', '[[202002162044]]', '[[202002151537]]']",Sat Feb 27 05:30:16 2021,169
Futarchy,['202109220803'],"['#mental-models', '#definition']","['[[202109220803]]', '[[202109220828]]', '[[202106120843]]']",Mon Sep 27 15:25:44 2021,113
Bodhimandala,['201904271137'],['#zen'],"['[[201904271127]]', '[[201904271137]]']",Sun May 03 15:30:26 2020,67
Breast Milk From Women Diagnosed With COVID-19,['202201261736'],"['#article', '#JAMM328', '#covid']","['[[202201261736]]', '[[202201301450]]']",Thu Feb 16 07:49:14 2023,994
U-ENGL501 Traditions Of Food Writing,['202211270741'],"['#ENGL501', '#writing', '#classnotes', '#cooking', '#food']","['[[202211270741]]', '[[202211241207]]', '[[202301251738]]', '[[202111181949]]', '[[202301251738]]', '[[202211241225]]', '[[202211152041]]', '[[202206181532]]', '[[202301312105]]', '[[202302051439]]', '[[202302051040]]', '[[202301241904]]', '[[202301300800]]', '[[202301261044]]', '[[202301241914]]', '[[202210131924]]', '[[202001230749]]', '[[202301231503]]', '[[202301240931]]', '[[202301301930]]', '[[202302062021]]', '[[202302220924]]', '[[202302131450]]', '[[202302271516]]', '[[202303061916]]', '[[202303061904]]', '[[202303201833]]', '[[202301301945]]']",Mon Mar 20 18:33:14 2023,876
Trust in Science Comparisons,['202106100758'],"['#science', '#skill']","['[[202106100758]]', '[[202105170810]]', '[[202105240548]]', '[[201903041018]]', '[[202105212054]]']",Thu Nov 25 08:31:22 2021,167
Literary Taxonomy of Sycamores,['202208132032'],"['#ENGL463', '#literature', '#environmental']","['[[202208132032]]', '[[202005021405]]', '[[202207180726]]', '[[202206251726]]']",Mon Aug 29 10:06:52 2022,342
Character building in the modern age,['202110010959'],['#attention'],"['[[202110010959]]', '[[202012102030]]', '[[202007201813]]']",Tue Oct 25 08:03:08 2022,129
Writing The Physical World,['202008062014'],"['#writing', '#skill']","['[[202008062014]]', '[[202007281225]]', '[[201905250840]]', '[[201904141619]]', '[[202012261937]]']",Sun Jan 01 08:22:33 2023,222
A-Cultivating An Ability To Imagine,['202101150821'],"['#ENGL473', '#article', '#beautiful-language']","['[[202101150821]]', '[[202012212010]]', '[[202102100846]]', '[[202103111535]]', '[[202102100855]]', '[[202102100924]]', '[[202102100924]]', '[[202108112103]]', '[[201904121241]]', '[[202105131455]]', '[[202105131452]]', '[[202101160626]]', '[[202101130900]]', '[[202101150603]]']",Tue Jan 24 19:01:06 2023,849
BO-Keep the three inseparable,['201904150459'],['#slogans'],"['[[201904220448]]', '[[201904160516]]', '[[201904250633]]', '[[201903250613]]', '[[201903070509]]', '[[201904180505]]', '[[201904150459]]']",Fri Dec 10 20:44:40 2021,532
Overlook changes in the middle,['202001082107'],[],"['[[202001082035]]', '[[201912270723]]', '[[202001082107]]']",Sun May 03 15:30:32 2020,152
Compounding Knowledge,['201903112026'],['#mental-models'],"['[[201903112026]]', '[[202106132004]]', '[[201912270723]]']",Mon Jun 14 05:55:34 2021,255
"B-The Boy, The Mole, The Fox And The Horse",['202206222000'],"['#book', '#drawing', '#beautiful-language']","['[[202206222000]]', '[[202303011657]]', '[[202208200754]]']",Fri Mar 10 08:59:15 2023,183
4 Characteristics of Zettelkasten,['201812161313'],['#zettelkasting'],"['[[201812161313]]', '[[201812161327]]', '[[201812171101]]', '[[201901050901]]', '[[201812180819]]', '[[201901041231]]', '[[201901061828]]', '[[201901081201]]', '[[201901081211]]']",Fri Oct 01 05:47:38 2021,66
Is Note Taking An Intellectual Activity?,['202101091523'],['#zettelkasting'],"['[[202101091523]]', '[[202101080816]]', '[[202203171941]]']",Thu Mar 17 19:52:58 2022,149
Ordinary Bodhisattvas,['202008131123'],"['#zen', '#writing']","['[[202008131123]]', '[[202003262054]]', '[[202008131131]]', '[[202007261531]]', '[[202007202000]]', '[[201912171125]]', '[[202002120928]]', '[[201902251014]]', '[[201902200737]]', '[[202008171612]]']",Sat Aug 13 07:38:30 2022,235
Attention Is A Tricky Thing,['202103270616'],['#thinking-skills'],"['[[202103270616]]', '[[202012231628]]', '[[202012151742]]', '[[202103270623]]', '[[202105040801]]']",Sun Mar 27 12:19:15 2022,135
Hill-climbing or Desirable Difficulties,['202203152107'],"['#pedagogy', '#article']","['[[202203152107]]', '[[202209272017]]', '[[202104240921]]', '[[202105030757]]', '[[202204301205]]']",Tue Jan 24 19:01:06 2023,412
A-Interview Sonke Ahrens How to Take Smart Notes - v2,['202003210933'],"['#zettelkasting', '#article', '#youtube']","['[[202003211358]]', '[[202003211401]]', '[[202003211404]]', '[[202003211410]]', '[[202003211413]]', '[[202003211416]]', '[[202103272034]]', '[[202003211421]]', '[[202003211428]]', '[[202003211431]]', '[[202003211435]]', '[[202003211453]]', '[[202009020540]]', '[[201811151032]]', '[[202002210525]]', '[[202003210933]]', '[[202003210936]]', '[[201908131521]]', '[[201901231951]]', '[[202003211355]]', '[[202003210933]]']",Sun Jan 22 14:47:03 2023,193
Is There Distance In Attention?,['202106010649'],[],"['[[202106010649]]', '[[202105221453]]', '[[202106010722]]']",Wed Jul 13 08:51:03 2022,66
Talk To Me,['202105242012'],"['#poetry', '#conversation-skills']","['[[202105242012]]', '[[202007091433]]']",Mon Jan 02 08:49:29 2023,191
Causal Chain,['201811151027'],[],"['[[201811151027]]', '[[201901281947]]']",Fri Sep 24 16:24:19 2021,175
Story Pulse Escalation,['202203220944'],"['#editing-tool', '#writing', '#5](message://%3c20220320170033.2.c79c8464b7da204b.d1y3u4ph@mg2.substack.com%3e)']","['[[202203220944]]', '[[202301092043]]']",Tue Jan 17 16:05:28 2023,281
A-Ten Billion Moments in a Lifetime,['202009100728'],"['#dzogchen', '#zen', '#article', '#beautiful-language']","['[[202009100728]]', '[[202011041504]]', '[[202006041628]]', '[[202007202019]]', '[[201903020514]]', '[[202003210746]]', '[[201903140603]]']",Sat Sep 10 14:10:13 2022,314
Set cdate from date in YAML,['202207281541'],"['#code-snippet', '#shell-script', '#57694105']","['[[202207281541]]', '[[202208040749]]']",Thu Feb 09 10:15:24 2023,55
What is this sentence supposed to do?,['202001092002'],"['#quote', '#writing', '#ENGL393', '#skill', '#editing']","['[[202012092105]]', '[[202001092002]]']",Fri Nov 18 09:13:49 2022,89
Tagging for context,['201901231915'],['#zettelkasting'],"['[[201901231915]]', '[[202003020631]]', '[[201901231854]]', '[[201901231938]]', '[[201901231915]]', '[[201901231920]]', '[[201901231930]]', '[[202002011055]]']",Fri Oct 01 05:47:38 2021,111
Senjru,['201911120646'],['#definition'],"['[[202007011434]]', '[[201911220836]]', '[[201911120646]]']",Tue Oct 20 17:32:55 2020,24
Recognizing Solitude,['202011281526'],['#solitude'],"['[[202011281526]]', '[[202010270815]]', '[[202008171612]]', '[[202007121919]]', '[[202010270743]]']",Sat Nov 28 17:04:55 2020,129
"C-JAMM328 February 03, 2022",['202202031528'],['#JAMM328'],"['[[202202031528]]', '[[202204170829]]']",Fri Feb 03 09:46:08 2023,364
The Monastic Philosophy Of Deep Work Scheduling,['202009100828'],['#thinking-skills'],"['[[202009100828]]', '[[201903101304]]', '[[202002210520]]', '[[202208091955]]', '[[202006230814]]', '[[202009100832]]', '[[202009100835]]', '[[202103270623]]', '[[202107070941]]']",Sat Sep 10 14:12:34 2022,248
BO-Use misfortune as practice,['201903100511'],['#slogans'],"['[[202010200553]]', '[[202210121715]]', '[[201903080539]]', '[[201903110656]]', '[[201904080510]]', '[[201904030514]]', '[[201904170606]]', '[[202009212034]]', '[[201903100511]]']",Sun Oct 16 08:57:06 2022,774
F-Cheap Shot,['202110110841'],"['#forum-post', '#zettelkasting']","['[[202110110841]]', '[[202110101626]]', '[[202110010741]]']",Sun Dec 18 08:01:16 2022,540
Eliminate decisions,['201903041645'],['#thinking-skills'],"['[[201903041105]]', '[[201903041645]]', '[[201903011645]]']",Mon Aug 17 17:15:27 2020,58
Repeating Sentences,['202001212048'],[],"['[[202107141541]]', '[[202103140710]]', '[[202001212048]]', '[[201911281112]]']",Wed Feb 08 06:30:27 2023,81
Digital Gardening,['202105021718'],"['#digital-garden', '#tools)']","['[[202105021718]]', '[[202211071545]]', '[[202108301931]]', '[[202202140830]]']",Tue Nov 08 16:55:58 2022,1428
Margret Tipton,['202204070827'],['#Tipton'],"['[[202204070827]]', '[[202204061530]]', '[[202204070839]]']",Fri Feb 17 08:36:47 2023,59
Seed of idea,['201907200637'],"['#zettelkasting', '#Comment_3080']",['[[201907200637]]'],Wed Mar 01 17:41:35 2023,160
A-Engagement,['202001271318'],"['#literature', '#article']","['[[202001290949]]', '[[202001271318]]', '[[202001161029]]']",Sun Apr 25 09:57:25 2021,90
PKM Dashboard,['202110010953'],['#dashboard'],"['[[202110010953]]', '[[202011250546]]', '[[202008011415]]']",Fri Jan 06 08:48:14 2023,314
Already dead people,['202001021656'],[],"['[[202001021656]]', '[[202001141730]]', '[[202212080857]]']",Thu Dec 08 08:59:58 2022,64
Self-love and self-confidence,['201904141732'],['#quote'],"['[[201904141732]]', '[[201901151737]]']",Sun May 03 15:30:30 2020,61
BO-Practice sympathetic joy,['201904250633'],['#slogans'],"['[[201903250613]]', '[[201903300509]]', '[[201904120530]]', '[[201904150459]]', '[[201904240458]]', '[[202009220810]]', '[[201904250633]]']",Mon Oct 12 19:43:29 2020,310
Capturing Prompts As Zettel,['202111071349'],"['#coding', '#project', '#spaced-repetition']","['[[202111071349]]', '[[202112071702]]']",Thu Jan 12 09:47:42 2023,246
B-The Size Of Thoughts: Essays And Other Lumber -,['202112231507'],"['#book', '#literature']","['[[202112231507]]', '[[202109080816]]', '[[202108311631]]', '[[202112250941]]', '[[202107111234]]', '[[202112250941]]', '[[202112271640]]', '[[202201131424]]']",Sun Dec 25 07:07:36 2022,457
Your Age Classifies How You Treat Progress,['202106192052'],[],"['[[202106192052]]', '[[202106141956]]']",Sun Jun 20 07:53:25 2021,166
Raymond Carver,['202101300601'],"['#writing', '#ENGL473', '#poetry', '#writing']","['[[202101300601]]', '[[202101311646]]', '[[202104091822]]', '[[202012092105]]', '[[202101311639]]']",Mon Dec 19 17:42:58 2022,379
Stock of metaphors,['201905211029'],"['#quote,', '#writing', '#metaphor']","['[[201902120605]]', '[[201812271440]]', '[[201906241735]]', '[[202011031034]]', '[[202012271136]]', '[[201905211029]]']",Sun Dec 27 11:36:15 2020,86
Sovereign Importance,['201904241146'],['#quote'],"['[[202104111512]]', '[[201904241146]]']",Mon Apr 12 08:39:06 2021,79
Come Away With Me,['202006041628'],['#quote'],"['[[202006041628]]', '[[202011041504]]', '[[202009100728]]']",Wed Nov 04 20:08:59 2020,180
A-The Children Of Lidice,['202002121325'],['#article'],"['[[202109220751]]', '[[202001131323]]', '[[202002121325]]']",Sat Dec 24 17:23:58 2022,161
B-Composed,['201812291932'],['#book'],"['[[201812291932]]', '[[202009070839]]', '[[201901010850]]']",Thu Dec 30 08:20:29 2021,220
Secrets Of Raremes,['202112271640'],"['#beautiful-language', '#literature']","['[[202112271640]]', '[[202112311534]]', '[[202106070916]]', '[[202012150924]]', '[[202107271714]]', '[[201910151039]]', '[[202003262054]]']",Tue Dec 27 08:53:15 2022,327
The Hard Problem,['201904301004'],[],"['[[201904301004]]', '[[202010192102]]']",Mon Oct 19 21:16:32 2020,151
Familiarization,['201902250830'],['#dzogchen'],"['[[202106160520]]', '[[201912181135]]', '[[201902250830]]', '[[201901301240]]', '[[202010130905]]', '[[202010262005]]', '[[202011250817]]']",Sun Oct 30 08:05:39 2022,224
H-Historical History,['202009230757'],"['#hub', '#history']","['[[202009230757]]', '[[202008131131]]', '[[202001082035]]', '[[202107090732]]', '[[201906271334]]', '[[202001021656]]', '[[201908211317]]', '[[202211041603]]', '[[201905210818]]', '[[201901250918]]', '[[202109220816]]', '[[201903151643]]', '[[201905031927]]', '[[202212131452]]', '[[202210131924]]']",Wed Dec 14 20:22:51 2022,137
Parkinson's Law,['202109220745'],['#mental-models'],"['[[202109220745]]', '[[202109220828]]', '[[202109020530]]']",Mon Sep 27 15:39:20 2021,79
B-Weinberg On Writing: The Fieldstone Method,['202302252046'],"['#proofing', '#book', '#writing', '#metaphor', '#links?', '#definition', '#writing-tip', '#beautiful-language']","['[[202302252046]]', '[[202211021724]]', '[[202303011657]]', '[[202302281758]]', '[[202012151743]]', '[[202303131644]]']",Tue Mar 14 09:16:25 2023,4278
